Xbox One Table
Content Title,Content Type,Price (USD)
Styx: Master of Shadows,Xbox One Game,[$6.00](https://www.microsoft.com/en-us/store/p/Styx-Master-of-Shadows/BNK369Q6JJ5T?cid=majornelson)
Styx: Master of Shadows + Styx: Shards of Darkness Bundle,Xbox One Game,[$15.00+](https://www.microsoft.com/en-us/store/p/Styx-Master-of-Shadows-Styx-Shards-of-Darkness/C543H40H6NL6?cid=majornelson)
Styx: Shards of Darkness,Xbox One Game,[$12.50+](https://www.microsoft.com/en-us/store/p/Styx-Shards-of-Darkness/BTBWJ7WC1Q76?cid=majornelson)
Tacoma*,Xbox One X Enhanced,[$6.59](https://www.microsoft.com/en-us/p/tacoma/9p4wkzxwp1qw?cid=majornelson)
The BioWare Bundle*,Xbox One Game,[$19.80](https://www.microsoft.com/en-us/store/p/The-BioWare-Bundle/C3HH84MVXD11?cid=majornelson)
The Council – Complete Season,Xbox One Game,[$20.09+](https://www.microsoft.com/en-us/store/p/the-council-complete-season/btplxww2g1kt?cid=majornelson)
The Council – Episode 1: The Mad Ones,Xbox One Game,[$4.68+](https://www.microsoft.com/en-us/store/p/the-council-episode-1-the-mad-ones/bqt2r5fk3p7r?cid=majornelson)
The Council – Episode 2: Hide and Seek,Xbox One Game,[$5.59](https://www.microsoft.com/en-us/p/the-council-episode-2-hide-and-seek/bwphhhx7cxcb?cid=majornelson)
The Council – Episode 3: Ripples,Xbox One Game,[$5.94](https://www.microsoft.com/en-us/p/the-council-episode-3-ripples/bpb92l4nhs13?cid=majornelson)
The Council – Season Pass,Add-On,[$16.74](https://www.microsoft.com/en-us/store/p/the-council-season-pass/bw5281bjpqj7?cid=majornelson)
The Surge – A Walk in the Park,Add-On,[$10.04](https://www.microsoft.com/en-us/store/p/The-Surge-A-Walk-in-the-Park/C2SN8TMB7M3N?cid=majornelson)
The Surge – Augmented Edition,Xbox One X Enhanced,[$24.00+](https://www.microsoft.com/en-us/p/the-surge-augmented-edition/bxgh809qc9l8?cid=majornelson)
The Technomancer,Xbox One Game,[Included](https://www.microsoft.com/en-us/store/p/The-Technomancer/BSN5GB25HM2M?cid=majornelson)
Titanfall 2: Ultimate Edition*,Xbox One X Enhanced,[$6.00](https://www.microsoft.com/en-us/store/p/Titanfall-2-Ultimate-Edition/BT21JH17GCVC?cid=majornelson)
Tour de France 2017,Xbox One Game,[$10.00](https://www.microsoft.com/en-us/store/p/Tour-de-France-2017/BPXX4NCFVD39?cid=majornelson)
Tour de France 2018,Xbox One Game,[$25.00](https://www.microsoft.com/en-us/p/tour-de-france-2018/bpm9498rr5gd?cid=majornelson)
Vampyr,Xbox One X Enhanced,[$30.00+](https://www.microsoft.com/en-us/p/vampyr/c3jpd73r365s?cid=majornelson)
Warhammer Bundle: Mordheim and Blood Bowl 2,Xbox One Game,[$12.50+](https://www.microsoft.com/en-us/p/warhammer-bundle-mordheim-and-blood-bowl-2/brk8mr2lmckh?cid=majornelson)
Yoku’s Island Express,Xbox One Game,[$11.99](https://www.microsoft.com/en-us/p/yokus-island-express/bp63mt1vjv6x?cid=majornelson)
